ID	Name_submitted	Overall_score	Name_matched_id	Name_matched	Name_score	Name_matched_rank	Author_submitted	Author_matched	Author_score	Canonical_author	Name_matched_accepted_family	Genus_submitted	Genus_matched	Genus_score	Specific_epithet_submitted	Specific_epithet_matched	Specific_epithet_score	Family_submitted	Family_matched	Family_score	Infraspecific_rank	Infraspecific_epithet_matched	Infraspecific_epithet_score	Infraspecific_rank_2	Infraspecific_epithet_2_matched	Infraspecific_epithet_2_score	Annotations	Unmatched_terms	Name_matched_url	Name_matched_lsid	Phonetic	Taxonomic_status	Accepted_name	Accepted_species	Accepted_name_author	Accepted_name_id	Accepted_name_rank	Accepted_name_url	Accepted_name_lsid	Accepted_family	Overall_score_order	Highertaxa_score_order	Source	Warnings
83	"'Sapindaceae Allophylus rhoidiphyllus Balf. fil.'"	Sapindaceae	Allophylus	rhoidiphyllus					"Balf. fil."		'
84	"'Saxifragaceae Saxifraga elegans Nutt.'"	Saxifragaceae	Saxifraga	elegans					Nutt.		'
85	"'Solanaceae Nolana lycioides I. M. Johnst.'"	Solanaceae	Nolana	lycioides					"I. M. Johnst."		'
86	"'Cupressaceae Chamaecyparis thyoides (L. ) BSP.'"	Cupressaceae	Chamaecyparis	thyoides					"(L. ) BSP."		'
87	"'Ericaceae Psammisia breviflora Benth.'"	Ericaceae	Psammisia	breviflora					Benth.		'
88	"'Rubiaceae Rubia javana DC.'"	Rubiaceae	Rubia	javana					DC.		'
89	"'Anomodontaceae Herpetineuron toccoae (Sull. & Lesq. ) Cardot'"	Anomodontaceae	Herpetineuron	toccoae					"(Sull. & Lesq. ) Cardot"		'
90	"'Thymelaeaceae Gyrinops moluccana'"	Thymelaeaceae	Gyrinops	moluccana							'
91	"'Miconia trichotoma (Desr. ) DC.'"		Miconia	trichotoma					"(Desr. ) DC."		'
92	"'Asteraceae Iranecio eriospermus (DC. ) C. Jeffr.'"	Asteraceae	Iranecio	eriospermus					"(DC. ) C. Jeffr."		'
93	"'Anacardiaceae Anacardiaceae Rhus canadensis'"	Anacardiaceae	Rhus	canadensis							"' Anacardiaceae"
94	"'Caprifoliaceae Valerianella sclerocarpa Fisch. & C. A. Mey.'"	Caprifoliaceae	Valerianella	sclerocarpa					"Fisch. & C. A. Mey."		'
95	"'Gentianaceae Gentianopsis vvedenskyi (Grossh. ) Pissjauk.'"	Gentianaceae	Gentianopsis	vvedenskyi					"(Grossh. ) Pissjauk."		'
96	"'Geraniaceae Geranium sanguineum var. sanguineum'"	Geraniaceae	Geranium	sanguineum	var.	sanguineum					'
97	"'Asteraceae Bulbostylis scorodoniaefolia Kunth'"	Asteraceae	Bulbostylis	scorodoniaefolia					Kunth		'
98	"'Poaceae Nardus L.'"	Poaceae	Nardus								"'  L."
99	"'Asteraceae Erigeron poncinsii (Franch. ) Botsch.'"	Asteraceae	Erigeron	poncinsii					"(Franch. ) Botsch."		'
100	"'Peridiscaceae Soyauxia grandifolia'"	Peridiscaceae	Soyauxia	grandifolia							'
